http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        221676,    1725,    1725,    1725,     2.6,     1.3,     7.0,    14.1,   118.2,   119.9,   98.9,  0.01489,      0,      0,       0,       0,       0,       0
total,        223673,    1957,    1957,    1957,     2.4,     1.3,     5.4,    21.5,    71.4,    80.6,  100.0,  0.01485,      0,      0,       0,       0,       0,       0
total,        225730,    2046,    2046,    2046,     2.2,     1.3,     5.6,    10.5,    82.8,    83.8,  101.0,  0.01476,      0,      0,       0,       0,       0,       0
total,        227631,    1877,    1877,    1877,     2.4,     1.3,     5.7,    12.5,    91.8,    95.0,  102.0,  0.01469,      0,      0,       0,       0,       0,       0
total,        229644,    1989,    1989,    1989,     2.3,     1.3,     5.9,    12.6,    91.3,    94.7,  103.0,  0.01457,      0,      0,       0,       0,       0,       0
total,        231513,    1859,    1859,    1859,     2.5,     1.3,     5.5,    49.6,    71.3,    72.0,  104.0,  0.01451,      0,      0,       0,       0,       0,       0
total,        234097,    2576,    2576,    2576,     1.7,     1.2,     4.1,     7.4,    56.1,    64.4,  105.0,  0.01443,      0,      0,       0,       0,       0,       0
total,        236065,    1961,    1961,    1961,     2.3,     1.2,     5.1,    34.9,    78.6,    78.7,  106.0,  0.01438,      0,      0,       0,       0,       0,       0
total,        238425,    2401,    2401,    2401,     1.7,     1.2,     3.7,    11.2,    52.4,    56.7,  107.0,  0.01425,      0,      0,       0,       0,       0,       0
total,        240465,    1961,    1961,    1961,     2.2,     1.2,     6.0,    20.4,    51.6,    55.1,  108.0,  0.01421,      0,      0,       0,       0,       0,       0
total,        242993,    2513,    2513,    2513,     1.5,     1.3,     2.7,     4.6,    18.3,    19.5,  109.0,  0.01410,      0,      0,       0,       0,       0,       0
total,        245000,    1998,    1998,    1998,     2.1,     1.3,     3.6,    22.1,    66.9,    69.8,  110.0,  0.01404,      0,      0,       0,       0,       0,       0
total,        246803,    1808,    1808,    1808,     2.3,     1.1,     2.3,     4.2,   353.9,   355.3,  111.0,  0.01399,      0,      0,       0,       0,       0,       0
total,        249105,    2219,    2219,    2219,     1.8,     1.2,     3.7,    12.7,    56.6,    56.7,  112.1,  0.01387,      0,      0,       0,       0,       0,       0
total,        251409,    2296,    2296,    2296,     1.8,     1.2,     3.1,    15.9,    67.9,    68.4,  113.1,  0.01375,      0,      0,       0,       0,       0,       0
total,        254176,    2755,    2755,    2755,     1.3,     1.1,     2.2,     3.2,    29.5,    30.1,  114.1,  0.01371,      0,      0,       0,       0,       0,       0
total,        256976,    2792,    2792,    2792,     1.3,     1.2,     2.4,     4.0,    10.4,    14.3,  115.1,  0.01368,      0,      0,       0,       0,       0,       0
total,        259502,    2515,    2515,    2515,     1.6,     1.2,     3.6,     9.5,    19.3,    20.6,  116.1,  0.01357,      0,      0,       0,       0,       0,       0
total,        261643,    2113,    2113,    2113,     2.1,     1.4,     5.6,    11.5,    36.2,    36.8,  117.1,  0.01347,      0,      0,       0,       0,       0,       0
total,        263420,    1765,    1765,    1765,     2.6,     1.5,     5.6,    17.1,    85.7,    85.7,  118.1,  0.01354,      0,      0,       0,       0,       0,       0
total,        265750,    2316,    2316,    2316,     1.9,     1.2,     4.5,    11.1,    59.8,    79.7,  119.1,  0.01343,      0,      0,       0,       0,       0,       0
total,        268010,    2249,    2249,    2249,     2.0,     1.2,     4.3,    11.0,    78.0,    86.1,  120.1,  0.01332,      0,      0,       0,       0,       0,       0
total,        270038,    2011,    2011,    2011,     2.2,     1.3,     5.1,    13.8,    95.8,    99.6,  121.1,  0.01322,      0,      0,       0,       0,       0,       0
total,        271992,    1904,    1904,    1904,     2.2,     1.4,     5.6,    20.3,    62.6,    62.9,  122.1,  0.01316,      0,      0,       0,       0,       0,       0
total,        274441,    2438,    2438,    2438,     1.6,     1.3,     3.0,     6.6,    43.4,    43.8,  123.1,  0.01307,      0,      0,       0,       0,       0,       0
total,        276586,    2137,    2137,    2137,     1.9,     1.3,     3.5,    11.3,    57.9,    62.9,  124.2,  0.01297,      0,      0,       0,       0,       0,       0
total,        278875,    2282,    2282,    2282,     1.7,     1.3,     2.7,     4.3,    51.2,    71.3,  125.2,  0.01287,      0,      0,       0,       0,       0,       0
total,        280795,    1887,    1887,    1887,     2.2,     1.4,     4.3,    12.2,    81.0,    84.0,  126.2,  0.01287,      0,      0,       0,       0,       0,       0
total,        283136,    2332,    2332,    2332,     1.7,     1.3,     2.9,     7.0,    43.4,    45.6,  127.2,  0.01277,      0,      0,       0,       0,       0,       0
total,        285766,    2617,    2617,    2617,     1.5,     1.3,     2.6,     3.4,     7.8,     8.6,  128.2,  0.01270,      0,      0,       0,       0,       0,       0
